module,subgroup,indicator,source_type,extractor,unit,applies_to_industry,position_type,selector_chain,matched_selector,matched_section,toc_ordinal,toc_level,char_start,char_end,body_chars,statement,field,report_hint_section,report_hint_ordinal,formula,inputs,resolved,note
资产负债表,一、资产,资产总计,akshare,auto,元,*,akshare_api,,,,,,,,,balance_sheet,资产总计,7. 2.2 资产负债表项目分析,78,,,yes,akshare-sourced; report hint is the matched TOC section (balance_sheet).
资产负债表,一、资产,发放贷款及垫款,report,llm,元,bank,section,发放贷款及垫款 → 资产负债表 (fallback),资产负债表,7. 2.2 资产负债表项目分析,78,3,305,152859,152534,,,,,,,yes,
资产负债表,二、负债,负债合计,akshare,auto,元,*,akshare_api,,,,,,,,,balance_sheet,负债合计,7. 2.2 资产负债表项目分析,78,,,yes,akshare-sourced; report hint is the matched TOC section (balance_sheet).
资产负债表,二、负债,资产负债率,computed,computed,%,*,derived,,,,,,,,,,,,,负债合计 / 资产总计 * 100,负债合计 | 资产总计,n/a,computed locally; no report position
资产负债表,二、负债,客户存款,report,llm,元,bank,section,客户存款 → 资产负债表 (fallback),客户存款,19. 客户存款,243,3,268192,269233,1023,,,,,,,yes,
资产负债表,三、所有者权益,所有者权益合计,akshare,auto,元,*,akshare_api,,,,,,,,,balance_sheet,所有者权益合计,7. 2.2 资产负债表项目分析,78,,,yes,akshare-sourced; report hint is the matched TOC section (balance_sheet).
资产负债表,四、核心指标,风险加权资产合计,report,llm,元,bank,section,资本充足率 → 风险管理 (fallback),资本充足率,7. 5.1 资本充足率及杠杆率情况,107,3,305,152859,152534,,,,,,,yes,
资产负债表,四、核心指标,核心一级资本充足率,report,llm,%,bank,section,资本充足率分析 → 资本充足率 → 风险管理 (fallback),资本充足率,7. 5.1 资本充足率及杠杆率情况,107,3,305,152859,152534,,,,,,,yes,
资产负债表,四、核心指标,一级资本充足率,report,llm,%,bank,section,资本充足率分析 → 资本充足率 → 风险管理 (fallback),资本充足率,7. 5.1 资本充足率及杠杆率情况,107,3,305,152859,152534,,,,,,,yes,
资产负债表,四、核心指标,资本充足率,report,llm,%,bank,section,资本充足率分析 → 资本充足率 → 风险管理 (fallback),资本充足率,7. 5.1 资本充足率及杠杆率情况,107,3,305,152859,152534,,,,,,,yes,
