指标名称,在规则中,在状态CSV中,丢失方向,模块,来源类型,报表类型,提取器,适用范围,OK次数,失败次数,skip_external,skip_form_filter,N/A次数,missing次数,分类,判定,丢失原因,ICBC年报,ICBC半年报,ICBC_Q1,ICBC_Q3,茅台年报,茅台半年报,茅台Q1,茅台Q3
一级资本充足率,Y,Y,in_both,balance_sheet,report,年报/半年报,llm,bank(*)[*],0,4,0,4,0,2,lost:section_missing,lost,"Never extracted; section missing in 2 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
不良率,Y,Y,in_both,balance_sheet,computed,年报/半年报/季报,computed,bank(*)[*],0,8,0,0,0,4,lost:section_missing,lost,"Never extracted; section missing in 4 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
不良贷款余额,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],0,8,0,0,0,4,lost:section_missing,lost,"Never extracted; section missing in 4 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
关注类贷款迁徙率,Y,Y,in_both,balance_sheet,report,年报/半年报,llm,bank(*)[*],0,4,0,4,0,2,lost:section_missing,lost,"Never extracted; section missing in 2 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
净利差,Y,Y,in_both,balance_sheet,report,年报/半年报,llm,bank(*)[*],0,4,0,4,0,2,lost:section_missing,lost,"Never extracted; section missing in 2 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
净利息收入,Y,Y,in_both,income_statement,akshare,年报/半年报/季报,auto,bank(*)[*],0,8,0,0,0,4,lost:section_missing,lost,"Never extracted; section missing in 4 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
净息差,Y,Y,in_both,balance_sheet,report,年报/半年报,llm,bank(*)[*],0,4,0,4,0,2,lost:section_missing,lost,"Never extracted; section missing in 2 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
发放贷款及垫款,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],0,8,0,0,0,4,lost:section_missing,lost,"Never extracted; section missing in 4 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
可疑类贷款迁徙率,Y,Y,in_both,balance_sheet,report,年报/半年报,llm,bank(*)[*],0,4,0,4,0,2,lost:section_missing,lost,"Never extracted; section missing in 2 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
客户存款,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],0,8,0,0,0,4,lost:section_missing,lost,"Never extracted; section missing in 4 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
拨贷比,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],0,8,0,0,0,4,lost:section_missing,lost,"Never extracted; section missing in 4 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
核心一级资本充足率,Y,Y,in_both,balance_sheet,report,年报/半年报,llm,bank(*)[*],0,4,0,4,0,2,lost:section_missing,lost,"Never extracted; section missing in 2 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
次级类贷款迁徙率,Y,Y,in_both,balance_sheet,report,年报/半年报,llm,bank(*)[*],0,4,0,4,0,2,lost:section_missing,lost,"Never extracted; section missing in 2 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
正常类贷款迁徙率,Y,Y,in_both,balance_sheet,report,年报/半年报,llm,bank(*)[*],0,4,0,4,0,2,lost:section_missing,lost,"Never extracted; section missing in 2 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
流动性比例（人民币）,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],0,8,0,0,0,4,lost:section_missing,lost,"Never extracted; section missing in 4 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
流动性覆盖率,Y,Y,in_both,balance_sheet,report,年报/半年报,llm,bank(*)[*],0,4,0,4,0,2,lost:section_missing,lost,"Never extracted; section missing in 2 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
贷款和垫款总额,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],0,8,0,0,0,4,lost:section_missing,lost,"Never extracted; section missing in 4 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
资本充足率,Y,Y,in_both,balance_sheet,report,年报/半年报,llm,bank(*)[*],0,4,0,4,0,2,lost:section_missing,lost,"Never extracted; section missing in 2 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
逾期90天重组贷款率,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,llm,bank(国有大行/股份制)[*],0,8,0,0,0,4,lost:section_missing,lost,"Never extracted; section missing in 4 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
逾期贷款率,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],0,8,0,0,0,4,lost:section_missing,lost,"Never extracted; section missing in 4 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
重组贷款率,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],0,8,0,0,0,4,lost:section_missing,lost,"Never extracted; section missing in 4 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
风险加权资产合计,Y,Y,in_both,balance_sheet,report,年报/半年报,llm,bank(*)[*],0,4,0,4,0,2,lost:section_missing,lost,"Never extracted; section missing in 2 test(s), section_found/no_value or extract_fail in others",section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
A股分红金额,Y,Y,in_both,report_section,report,年报,llm,universal[*],0,2,0,6,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 2 tests failed with section_found/no_value or extract_fail),section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter
A股股东人数（季度）,Y,Y,in_both,report_section,report,年报/半年报/季报,python:headcount,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail
A股融资金额,Y,Y,in_both,report_section,report,年报,llm,universal[*],0,2,0,6,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 2 tests failed with section_found/no_value or extract_fail),section_found/extract_fail,skip:form_filter,skip:form_filter,skip:form_filter,section_found/extract_fail,skip:form_filter,skip:form_filter,skip:form_filter
一年内到期的可转换公司债券,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
一般风险准备金,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
上市募集资金总额,Y,Y,in_both,cashflow,report,年报,python:table_row,universal[*],0,2,0,6,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 2 tests failed with section_found/no_value or extract_fail),section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter
不良贷款拨备覆盖率,Y,Y,in_both,report_section,report,年报/半年报/季报,python:percent_value,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
专项储备,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
